245	orf_length_med shannon_slope at_skew gc_skew max_direction phmms
246	none pg0 orf_length_med shannon_slope at_skew gc_skew max_direction
247	none pg0 orf_length_med shannon_slope at_skew gc_skew phmms
248	none pg0 orf_length_med shannon_slope at_skew max_direction phmms
249	none pg0 orf_length_med shannon_slope gc_skew max_direction phmms
250	none pg0 orf_length_med at_skew gc_skew max_direction phmms
251	none pg0 shannon_slope at_skew gc_skew max_direction phmms
252	none orf_length_med shannon_slope at_skew gc_skew max_direction phmms
253	pg0 orf_length_med shannon_slope at_skew gc_skew max_direction phmms
254	none pg0 orf_length_med shannon_slope at_skew gc_skew max_direction phmms
